filename,commit_count
config.go,271
run.go,230
linters_settings.go,228
manager.go,218
runner.go,186
doc.go,170
main.go,147
govet.go,98
builder_linter.go,90
run_test.go,86
util.go,78
gci.go,76
load.go,75
gofmt.go,74
revive.go,72
gocritic.go,67
linters.go,65
linters_test.go,65
errcheck.go,62
errors.go,60
goimports.go,60
lint.go,59
nolintlint.go,59
executor.go,57
nolint.go,54
loader.go,53
gofumpt.go,53
root.go,52
context.go,51
unused.go,50
utils.go,49
wsl.go,48
depguard.go,47
linter.go,46
dupl.go,46
gosec.go,46
gocyclo.go,45
megacheck.go,45
text.go,44
version.go,44
misspell.go,44
golint.go,43
cache.go,43
issue.go,42
goconst.go,41
whitespace.go,41
godot.go,41
enabled_linters_test.go,38
ineffassign.go,37
nolint_test.go,37
autogenerated_exclude.go,37
lll.go,36
issues.go,36
diff.go,35
unconvert.go,35
help.go,34
deadcode.go,32
types.go,31
interfacer.go,31
reader.go,30
fixer.go,30
gomodguard.go,30
structcheck.go,29
unparam.go,29
error.go,28
varcheck.go,28
typecheck.go,28
logutils.go,28
gochecknoglobals.go,28
staticcheck.go,28
parser.go,27
bench_test.go,27
prealloc.go,27
ginkgolinter.go,27
builder.go,26
fix.go,26
maligned.go,26
printer.go,26
godox.go,26
output.go,26
flagsets.go,26
cgo.go,25
enabled_linters.go,25
analysis.go,25
importas.go,25
runner_loadingpackage.go,25
severity.go,25
enabled_set.go,24
funlen.go,24
gocognit.go,24
skip_dirs.go,23
stylecheck.go,23
bodyclose.go,23
exhaustive.go,23
imports.go,22
gas.go,22
analyzer.go,22
nestif.go,22
thelper.go,22
forbidigo.go,22
decode.go,21
tab.go,21
nakedret.go,21
exclude_rules.go,21
github.go,21
perfsprint.go,21
fsutils.go,20
max_per_file_from_linter.go,20
token.go,20
fix_test.go,20
paralleltest.go,20
testifylint.go,20
print.go,19
json.go,19
log.go,19
validator.go,19
gochecknoinits.go,19
gosimple.go,19
codeclimate.go,19
goheader.go,19
errorlint.go,19
makezero.go,19
golangci.go,18
astcache.go,18
scopelint.go,18
dogsled.go,18
runners.go,18
base_rule.go,18
cyclop.go,18
runner_action.go,18
usestdlibvars.go,18
common.go,17
encode.go,17
parse.go,17
path_prettifier.go,17
packages.go,17
wrapcheck.go,17
thanks.go,17
types_openbsd.go,16
exclude.go,16
uniq_by_line.go,16
autogenerated_exclude_test.go,16
enabled_set_test.go,16
testshared.go,16
junitxml.go,16
gofmt_common.go,16
asciicheck.go,16
noctx.go,16
sqlclosecheck.go,16
wastedassign.go,16
tagliatelle.go,16
output_test.go,16
logger.go,15
max_same_issues.go,15
checkstyle.go,15
stderr_log.go,15
golist.go,15
errchk.go,15
default.go,15
gomnd.go,15
sort_results.go,15
nilnil.go,15
tagalign.go,15
sloglint.go,15
govet_test.go,14
service.go,14
internal.go,14
ssa.go,14
write.go,14
lintersdb.go,14
package.go,14
unmarshal.go,14
client.go,14
api.go,14
build.go,14
nolintlint_test.go,14
varnamelen.go,14
bidichk.go,14
errchkjson.go,14
nonamedreturns.go,14
copyloopvar.go,14
severity_test.go,14
formatters.go,14
env.go,13
buildtag.go,13
source.go,13
check.go,13
max_from_linter.go,13
fmt.go,13
rowserrcheck.go,13
nlreturn.go,13
nilerr.go,13
gomoddirectives.go,13
promlinter.go,13
contextcheck.go,13
decorder.go,13
exhaustruct.go,13
dupword.go,13
musttag.go,13
mirror.go,13
gochecksumtype.go,13
types_freebsd.go,12
zstdlib.go,12
visit.go,12
wrappers.go,12
walk.go,12
skip_files.go,12
metalinter.go,12
filename_unadjuster.go,12
cache_test.go,12
trace.go,12
go_mod_tidy_hack.go,12
exportloopref.go,12
sort_results_test.go,12
exhaustivestruct.go,12
errname.go,12
maintidx.go,12
golines.go,12
migrate.go,12
format.go,11
constants.go,11
types_darwin.go,11
sortimports.go,11
emit.go,11
func.go,11
identical.go,11
lift.go,11
html.go,11
match.go,11
resolve.go,11
exclude_rules_test.go,11
goprintffuncname.go,11
goerr113.go,11
predeclared.go,11
ifshort.go,11
durationcheck.go,11
forcetypeassert.go,11
staticcheck_common.go,11
tenv.go,11
tab_test.go,11
text_test.go,11
grouper.go,11
execinquery.go,11
commons.go,11
gocritic_test.go,11
runner_test.go,11
protogetter.go,11
intrange.go,11
config_verify.go,11
fatcontext.go,11
timestamp.go,10
assign.go,10
map.go,10
mkstdlib.go,10
const.go,10
dom.go,10
lvalue.go,10
methods.go,10
sanity.go,10
switch.go,10
testmain.go,10
pkg.go,10
tables10.0.0.go,10
exclude_test.go,10
position.go,10
stopwatch.go,10
typecheck_many_issues.go,10
interface.go,10
defaults.go,10
github_test.go,10
testpackage.go,10
ireturn.go,10
codeclimate_test.go,10
containedctx.go,10
nosprintfhostport.go,10
asasalint.go,10
gofmt_rewrite_rules.go,10
gosmopolitan.go,10
printer_test.go,10
builder_plugin_go.go,10
invalid_issue.go,10
mnd.go,10
equal.go,9
properties.go,9
process_freebsd.go,9
writer.go,9
syscall_linux.go,9
